service,category
messageasap,other
messageservice,other
meta-corp,licensing
metaagent,other
metaconsole,other
metaedit-mu,development
metaedit-se,management
metaedit-ws,development
metagram,other
metalbend,other
metasage,other
metastorm,other
metasys,industrial
metatude-mds,other
meter,management
metricadbc,other
metrics-pas,other
mevent,other
mfcobol,development
mfserver,other
mftp,other
mgcp-callagent,media
mgcp-gateway,media
mgcs-mfp-port,other
mgemanagement,management
mgesupervision,management
mgxswitch,other
miami-bcast,other
mib-streaming,management
mice,other
micom-pfs,other
microcom-sbp,other
micromuse-lm,other
micromuse-ncps,other
micromuse-ncpw,other
microsan,other
microsoft-ds,files
microtalon-com,other
microtalon-dis,discovery
midnight-tech,other
mikey,other
mil-2045-47001,other
miles-apart,media
mimer,database
mindarray-ca,management
mindfilesys,files
mindprint,printing
minecraft,gaming
minger,email
mini-sql,database
minilock,other
minirem,industrial
minivend,other
minotaur-sa,other
mipi-debug,development
mipv6tls,network
mira,remote
miroconnect,other
mirrtex,other
mit-dov,printing
mit-ml-dev,other
miteksys-lm,licensing
miva-mqs,other
mkm-discovery,discovery
ml-svnet,other
mlchat-proxy,chat
mle,network
mles,database
mloadd,management
mlsn,other
mm-admin,management
mma-discovery,discovery
mmacomm,other
mmaeds,other
mmcal,other
mmcals,other
mmcc,media
mmpft,industrial
mnet-discovery,discovery
mni-prot-rout,network
mnotes,other
mnp-exchange,other
mns-mail,email
mobile-file-dl,files
mobile-p2p,other
mobileanalyzer,management
mobileip-agent,network
mobilip-mn,network
mobrien-chat,chat
moldflow-lm,licensing
molly,other
mon,management
mondex,other
monetra,other
monetra-admin,management
mongod,database
monitor,other
monkeycom,other
monp,media
montage-lm,licensing
mortgageware,other
mosaicsyssvc1,other
mosaixcc,other
mosmig,other
mount,files
mountd,files
movaz-ssc,other
moy-corp,other
mpc-lifenet,other
mpfoncl,other
mpfwsas,other
mphlpdmc,other
mpidcagt,other
mpidcmgr,other
mpl-gprs-port,network
mpls-pm,management
mpls-udp,network
mpls-udp-dtls,network
mpm,email
mpm-flags,other
mpm-snd,other
mpnjsc,other
mpnjsocl,other
mpnjsomb,other
mpnjsomg,other
mpnjsosv,other
mpp,chat
mppolicy-mgr,management
mppolicy-v5,other
mps-raft,other
mpshrsv,other
mpsserver,other
mpsysrmsvr,other
mptn,network
mqe-agent,middleware
mqe-broker,middleware
mqtt,middleware
mrip,industrial
mrm,management
mrssrendezvous,discovery
ms-alerter,management
ms-cluster-net,management
ms-ilm,identity
ms-ilm-sts,identity
ms-la,other
ms-licensing,licensing
ms-lsa,other
ms-olap1,database
ms-olap2,database
ms-olap3,database
ms-olap4,database
ms-rome,other
ms-rule-engine,other
ms-s-sideshow,other
ms-shuttle,other
ms-sideshow,other
ms-smlbiz,other
ms-sna-base,network
ms-sna-server,network
ms-sql-m,management
ms-sql-s,database
ms-sql2000,database
ms-streaming,media
ms-theater,media
ms-v-worlds,other
ms-wbt-server,remote
msantipiracy,licensing
msdfsr,files
msdp,network
msdtc,middleware
msdts1,other
msexch-routing,email
msfrs,files
msft-dpm-cert,other
msft-gc,identity
msft-gc-ssl,identity
msfw-array,security
msfw-control,security
msfw-replica,security
msfw-s-storage,security
msfw-storage,security
msg-auth,identity
msg-icp,other
msgclnt,other
msgsrvr,other
msgsys,other
mshvlm,other
msi-cps-rm,media
msi-selectplay,other
msiccp,other
msims,other
msl_lmd,licensing
msmq,middleware
msmq-mgmt,management
msnp,chat
msolap-ptp2,database
msp,chat
msp-os,other
msql,database
msr-plugin-port,other
msrp,chat
msrpc,middleware
msss,other
mstmg-sstp,vpn
msync,other
mt-scaleserver,industrial
mtcevrunqman,management
mtcevrunqss,other
mti-tcs-comm,other
mtl8000-matrix,other
mtn,development
mtp,media
mtport-regist,other
mtportmon,management
mtqp,email
mtrace,management
mtrgtrans,other
mtsserver,other
multicast-ping,management
multidropper,other
multiling-http,web
multip-msg,other
multiplex,middleware
mumps,database
munin,management
mupdate,email
murmur,media
murray,other
murx,other
muse,other
musiconline,media
must-backplane,other
must-p2p,other
mvel-lm,other
mvs-capacity,other
mvx-lm,licensing
mxi,other
mxit,chat
mxodbc-connect,database
mxomss,other
mxxrlogin,middleware
myblast,other
mylex-mapd,other
mylxamport,other
mynahautostart,other
myq-termlink,discovery
myrtle,other
mysql,database
mysql-cluster,management
mysql-cm-agent,management
mysql-im,management
mysql-proxy,database
mysqlx,database
mythtv,media
mzca-action,management
mzca-alert,management
n1-fwp,other
n1-rmgmt,management
n2h2server,other
n2nremote,other
n2receive,management
na-er-tip,other
na-localise,other
naap,other
nacagent,identity
nacnl,discovery
namemunge,other
nameserver,discovery
namp,network
nani,other
napster,files
nas,management
nas-metering,other
nasmanager,management
nat-pmp,network
nat-pmp-status,network
nat-t-ike,vpn
natdataservice,other
nati-dstp,other
nati-logos,other
nati-svrloc,discovery
nati-vi-server,other
nattyserver,other
natuslink,other
nav-data-cmd,industrial
nav-port,other
navbuddy,other
navegaweb-port,other
navisphere,other
navisphere-sec,other
nbd,storage
nbdb,storage
nbt-pc,management
nbt-wol,management
nburn_id,discovery
nbx-au,media
nbx-cc,media
nbx-dir,media
nbx-ser,media
ncacn-ip-tcp,middleware
ncadg-ip-udp,middleware
ncconfig,management
ncd-conf,management
ncd-conf-tcp,management
ncd-diag,management
ncd-diag-tcp,management
ncd-pref,management
ncd-pref-tcp,other
ncdloadbalance,other
ncdmirroring,other
nced,other
ncl,other
ncld,other
ncp,other
ncpm-ft,other
ncpm-hip,other
ncpm-pm,other
ncpu,remote
ncr_ccl,other
ncu-1,management
ncu-2,management
ncube-lm,licensing
ncxcp,other
ndl-aas,other
ndl-ahp-svc,other
ndl-als,licensing
ndl-aps,printing
ndl-tcp-ois-gw,other
ndm-agent-port,other
ndm-requester,other
ndm-server,other
ndmp,storage
ndmps,storage
ndn,network
ndnp,other
nds_sso,identity
ndsauth,identity
ndsconnect,other
ndsp,other
ndtp,other
nec-raidplus,storage
neckar,management
necp,other
nei-management,management
neo4j,database
neod1,middleware
neod2,middleware
neoiface,other
neon24x7,other
nerv,other
nesh-broker,other
nessus,security
nessus-xmlrpc,security
nest-protocol,other
net-device,other
net-projection,media
net-steward,management
net2display,media
net8-cman,management
netadmin,management
netagent,other
netangel,other
netapp-icdata,storage
netapp-icmgmt,management
netapp-sync,storage
netarx,other
netaspi,storage
netassistant,remote
netattachsdmp,other
netbackup,storage
netbill-auth,identity
netbill-cred,identity
netbill-keyrep,identity
netbill-prod,other
netbill-trans,other
netbios-dgm,middleware
netbios-ns,discovery
netbios-ssn,middleware
netblox,other
netbookmark,other
netboot-pxe,network
netbus,remote
netcabinet-com,other
netcelera,other
netchat,chat
netcheque,other
netclip,other
netcomm1,other
netcomm2,other
netconf-beep,management
netconf-ch-ssh,management
netconf-ch-tls,management
netconf-ssh,management
netconf-tls,management
netconfsoapbeep,management
netconfsoaphttp,management
netcp,management
netdb-export,other
neteh,management
neteh-ext,management
netgw,other
netinfo,identity
netinfo-local,identity
netiq,other
netiq-endpoint,other
netiq-endpt,other
netiq-mc,management
netiq-ncap,other
netiq-qcheck,other
netiq-voipa,management
netlabs-lm,licensing
netmagic,other
netmap_lm,other
netml,other
netmo-default,other
netmo-http,web
netmon,management
netmount,other
netmpi,management
netnews,chat
neto-dcs,other
neto-wol-server,management
netobjects1,other
netobjects2,other
netop-rc,remote
netop-school,other
netopia-vo1,other
netopia-vo2,other
netopia-vo3,other
netopia-vo4,other
netopia-vo5,other
netops-broker,other
netperf,management
netplan,other
netplay-port1,other
netplay-port2,other
netport-id,discovery
netprowler-manager,security
netprowler-manager2,security
netprowler-sensor,security
netrcs,development
netrek,gaming
netrisk,other
netrix-sftm,other
netrjs-1,management
netrjs-2,management
netrjs-3,management
netrjs-4,management
netrockey6,other
netsaint,management
netsc-dev,other
netsc-prod,other
netscript,management
netserialext1,other
netserialext2,other
netserialext3,other
netserialext4,other
netspeak-acd,media
netspeak-cps,other
netspeak-cs,media
netspeak-is,identity
netstat,management
netsteward,management
netsupport,other
netsupport2,other
nettest,management
nettgain-nms,management
netuitive,other
netvenuechat,chat
netview-aix-1,management
netview-aix-10,management
netview-aix-11,management
netview-aix-12,management
netview-aix-2,management
netview-aix-3,management
netview-aix-4,management
netview-aix-5,management
netview-aix-6,management
netview-aix-7,management
netview-aix-8,management
netview-aix-9,management
netviewdm1,management
netviewdm2,management
netviewdm3,management
netwall,other
netware-csp,other
netware-ip,files
netwatcher-db,other
netwatcher-mon,management
netwave-ap-mgmt,management
netwkpathengine,other
networklens,management
networklenss,management
netx-agent,other
netx-server,other
netxms-agent,management
netxms-mgmt,management
netxms-sync,management
neveroffline,other
new-rwho,management
newacct,other
newbay-snc-mc,management
newgenpay,other
newheights,media
newlixconfig,management
newlixengine,other
newlixreg,other
newoak,other
news,remote
newton-dock,other
newwavesearch,middleware
nexentamv,management
nexgen,industrial
nexgen-aux,industrial
nexstorindltd,other
nextstep,remote
nexus-portal,other
nfa,files
nfapi,network
nfoldman,other
nfs,files
nfsd-keepalive,management
nfsd-status,management
nfsrdma,files
ng-control,network
ng-umds,other
nhci,management
nhserver,other
ni-ftp,files
ni-mail,email
ni-visa-remote,other
nicelink,other
nicetec-mgmt,management
nicetec-nmsvc,other
nifty-hmi,other
nikatron-dev,other
nilinkanalyst,other
nim,other
nim-vdrshell,other
nim-wan,other
nimaux,other
nimbusdb,database
nimbusdbctrl,database
nimcontroller,management
nimgtw,other
nimhub,management
nimreg,other
nimrod-agent,other
nimsh,other
nimspooler,management
ninaf,other
niobserver,other
nip,other
niprobe,other
nirp,discovery
nitrogen,other
njenet-ssl,other
nkd,other
nlg-data,other
nlogin,other
nls-tl,network
nm-asses-admin,management
nm-assessor,management
nm-game-admin,management
nm-game-server,gaming
nmap,other
nmasoverip,identity
nmc-disc,discovery
nmea-0183,other
nmea-onenet,industrial
nmmp,other
nms,management
nms-dpnss,media
nms_topo_serv,management
nmsd,management
nmsigport,other
nmsp,media
nmsserver,management
nnp,other
nnsp,chat
nntp,chat
noaaport,other
noadmin,other
noagent,other
nod-client,other
nod-provider,other
noit-transport,management
nokia-ann-ch1,other
nokia-ann-ch2,other
nomad,media
nomdb,other
norton-lambert,other
notateit,other
notateit-disc,discovery
noteit,other
noteshare,other
noteza,other
notezilla-lan,other
notify,other
notify_srvr,other
novar-alarm,other
novar-dbase,other
novar-global,other
novastorbakcup,storage
novation,other
novell-ipx-cmd,network
novell-lu6.2,network
novell-zen,management
nowcontact,other
npdbgmngr,development
npds-tracker,other
npep-messaging,other
nping-echo,management
npmp,other
npmp-gui,other
npmp-local,other
npmp-trap,other
npp,other
nppmp,management
npqes-test,management
npsp,printing
nq-ap,other
nqs,management
nrcabq-lm,other
nrpe,management
ns,other
ns-cfg-server,management
ns-server,other
nsc-ccs,other
nsc-posa,other
nsdeepfreezectl,other
nsesrvr,web
nsiiops,middleware
nsjtp-ctrl,other
nsjtp-data,other
nsp,other
nsrexecd,storage
nsrp,discovery
nss,security
nss-routing,network
nssagentmgr,management
nssalertmgr,management
nssocketport,middleware
nsstp,other
nst,printing
nsw-fe,other
nta-ds,management
nta-us,management
ntalk,chat
ntp,network
ntske,network
ntz-p2p-storage,storage
ntz-tracker,other
nuauth,identity
nucleus,other
nucleus-sand,database
nufw,security
nupaper-ss,other
nusrp,other
nut,management
nuts_bootp,network
nuts_dem,other
nuxsl,other
nvc,media
nvcnet,security
nvd,other
nvm-express,storage
nvmsgd,other
nw-license,licensing
nxlmd,licensing
o2server-port,other
oa-system,other
oap,middleware
oap-admin,management
oap-s,middleware
obex,files
objcall,middleware
objective-dbc,database
objectmanager,other
obrpd,other
observium-agent,management
oc-lm,licensing
ocbinder,other
oce-snmp-trap,management
oceansoft-lm,licensing
ock,other
ocs_amu,other
ocs_cmu,other
ocserver,other
octopus,middleware
octopustentacle,management
odbcpathway,database
odette-ftp,files
odette-ftps,files
odeumservlink,other
odi-port,other
odmr,email
odn-castraq,other
odnsp,other
odsi,other
oem-agent,other
oemcacao-jmxmp,management
oemcacao-rmi,management
oemcacao-websvc,management
office-tools,other
officelink2000,other
ofsd,other
oftep-rpc,files
ogs-client,other
ogs-server,other
ohimsrv,other
ohmtrigger,other
ohsc,other
oi-2000,other
oidocsvc,other
oidsr,other
oirtgsvc,other
oktaauthenticat,identity
olhost,other
ollama,other
olsr,network
olsv,database
oma-dcdocbs,media
oma-ilp,network
oma-ilp-s,network
oma-mlp,network
oma-mlp-s,network
oma-rlp,network
oma-rlp-s,network
oma-ulp,network
omabcastltkm,media
omad,discovery
omasgport,media
omfs,files
omginitialrefs,middleware
omhs,management
omid,other
omnilink-port,other
omnisky,other
omnivision,other
omnivisionesx,other
oms,other
oms-nonsecure,other
omscontact,other
omsdk,management
omserv,other
omstopology,management
omviagent,other
omviserver,other
onbase-dds,other
onehome-help,other
onehome-remote,other
onep-tls,management
onesaf,other
onmux,other
onpsocket,network
onscreen,other
ontime,other
ontobroker,other
oob-ws-http,management
op-probe,other
opalis-rbt-ipc,other
opalis-rdv,other
opalis-robot,management
opc-job-start,management
opc-job-track,management
opcon-xps,other
opcua-tcp,industrial
opcua-tls,industrial
opcua-udp,industrial
opencm,development
opencore,other
opendeploy,other
openflow,network
openhpid,other
openit,management
openmail,email
openmailg,email
openmailns,email
openmailpxy,email
openmanage,management
openmath,other
opennl,other
opennl-voice,media
openport,other
openqueue,middleware
openremote-ctrl,industrial
openstack-id,identity
opentable,other
opentelemetry,management
opentrac,other
openvms-sysipc,middleware
openvpn,vpn
openwebnet,industrial
opequus-server,other
opi-sock,other
opsec-cvp,security
opsec-ela,security
opsec-lea,security
opsec-omi,security
opsec-sam,security
opsec-uaa,security
opsec-ufp,security
opsession-clnt,other
opsession-prxy,vpn
opsession-srvr,other
opsmessaging,middleware
opsmgr,management
opsview-envoy,management
opswagent,management
opswmanager,management
optech-port1-lm,licensing
optika-emedia,other
optilogic,other
optima-vnet,other
optimanet,other
optiwave-lm,licensing
optocontrol,other
optohost002,other
optohost003,other
optohost004,other
opus-services,other
ora-lm,licensing
ora-oap,other
oracle,database
oracle-em1,management
oracle-em2,management
oracle-ms-ens,middleware
oracle-oms,management
oracle-vp1,other
oracle-vp2,other
oracleas-https,web
oraclenames,discovery
oraclenet8cman,database
orasrv,database
orbiter,other
orbix-cfg-ssl,middleware
orbix-config,middleware
orbix-loc-ssl,middleware
orbix-locator,middleware
orbixd,middleware
orbplus-iiop,middleware
ordinox-dbase,database
ordinox-server,other
origo-sync,database
orion,other
orion-rmi-reg,middleware
ortec-disc,discovery
os-licman,licensing
osaut,other
osdcp,other
osm-appsrvr,other
osm-oev,other
osmosis-aeea,other
osp,other
ospf-lite,network
ospfd,management
osu-nms,management
osvr,media
osxwebadmin,management
otlp,other
otmp,middleware
otp,security
otpatch,other
ott,other
ottp,other
otv,network
outlaws,gaming
ov-nnm-websrv,management
ovalarmsrv,management
ovalarmsrv-cmd,management
ovbus,management
oveadmgr,management
overnet,files
ovhpas,management
ovladmgr,management
ovobs,management
ovrimosdbman,other
ovsam-d-agent,management
ovsam-mgmt,management
ovsdb,management
ovsessionmgr,management
ovtopmd,management
ovwdb,management
owamp-control,management
owms,middleware
owserver,industrial
p-net-local,industrial
p-net-remote,industrial
p25cai,media
p2p-sip,management
p2pcommunity,other
p2pevolvenet,other
p2pgroup,other
p2pq,other
p4p-portal,other
p4runtime,management
p6ssmc,management
pace-licensed,licensing
pacerforum,other
pacmand,other
pacom,other
padl2sim,other
pads,other
pafec-lm,other
paging-port,media
pago-services1,other
pago-services2,other
palace-1,other
palace-2,other
palace-3,other
palace-4,other
palace-5,other
palace-6,other
palcom-disc,discovery
pammratc,other
pammrpc,other
pana,identity
panagolin-ident,other
panasas,discovery
pando-pub,files
pando-sec,files
pangolin-laser,other
papachi-p2p-srv,other
paradym-31,other
paragent,other
parallel,other
park-agent,other
parliant,media
parsec-game,gaming
parsec-master,gaming
parsec-peer,gaming
partimage,storage
passgo,identity
passgo-tivoli,identity
password-chg,identity
passwrd-policy,identity
patrol,management
patrol-coll,management
patrol-ism,management
patrol-mq-gm,management
patrol-mq-nm,management
patrol-snmp,management
patrolview,management
pawserv,management
pay-per-view,media
paycash-online,other
paycash-wbp,other
payrouter,other
pc-mta-addrmap,network
pc-telecommute,other
pcanywhere,remote
pcanywheredata,remote
pcanywherestat,remote
pcc-image-port,other
pcc-mfp,other
pcduo,remote
pcduo-old,remote
pcep,network
pcia-rxp-b,other
pciarray,other
pcihreq,other
pcle-infex,other
pclemultimedia,media
pcm,security
pcmail-srv,email
pcmk-remote,management
pcnfs,identity
pcoip,remote
pcoip-mgmt,management
pconnectmgr,other
pcptcpservice,other
pcs-pcw,other
pcs-sf-ui-man,management
pcsync-http,web
pcsync-https,web
pctrader,other
pcttunnell,vpn
pd-admin,management
pda-data,other
pda-gate,other
pda-sys,other
pdap,files
pdap-np,other
pdb,other
pdefmns,management
pdnet,other
pdp,other
pdps,printing
pdrncs,other
pds,discovery
pdtp,other
pduncs,other
pe-mike,other
pearldoc-xact,other
peerbook-port,other
peerenabler,other
peerwire,other
pegasus,other
pegasus-ctl,other
pegboard,other
pehelp,other
pentbox-sim,chat
peocoll,other
peoctlr,other
peport,other
perf-port,management
perfd,management
perimlan,other
periscope,other
permabit-cs,storage
perrla,other
persona,other
personal-agent,other
personal-link,other
personalos-001,other
personnel,other
pfcp,network
pftp,files
pfu-prcallback,other
pgbackrest,storage
pgbouncer,database
pgps,other
ph,other
pharmasoft,other
pharos,other
philips-vc,media
phoenix-rpc,middleware
phonebook,other
phonex-port,media
photuris,vpn
phrelay,other
phrelaydbg,development
piccolo,other
pichat,chat
picknfs,files
picodbc,database
pictrography,other
pim-port,network
pim-rp-disc,network
ping-pong,other
pinghgl,gaming
pip,other
pipe_server,other
pipes,middleware
piranha1,other
piranha2,other
pirp,other
pit-vpn,vpn
pixelpusher,industrial
pjj-player,media
pjlink,media
pk,other
pk-electronics,other
pkagent,other
pkix-3-ca-ra,identity
pkix-cmc,identity
pkix-timestamp,identity
pksd,identity
pkt-krb-ipsec,vpn
pktcable-cops,network
pktcablemmcops,network
plato,other
plato-lm,licensing
playsta2-app,gaming
playsta2-lob,gaming
plbserve-port,middleware
plcy-net-svcs,other
plethora,other
plex,media
plgproxy,other
pluribus,other
plysrv-http,web
plysrv-https,web
pm-cmdsvr,chat
pmas,management
pmcd,management
pmcdproxy,management
pmcp,media
pmcs,other
pmd,management
pmdfmgt,management
pmdmgr,management
pmip6-cntl,network
pmip6-data,network
pmsm-webrctl,management
pmwebapi,management
pn-requester,other
pn-requester2,other
pnaconsult-lm,other
pnbs,storage
pnbscada,industrial
pnet-conn,other
pnet-enc,other
pnrp-port,discovery
pns,other
polestar,other
policyserver,other
polipo,vpn
pon-ictp,network
pop2,email
pop3,email
pop3pw,email
pop3s,email
popup-reminders,other
portgate-auth,identity
postgresql,database
pov-ray,other
powerburst,other
powerchute,management
powerchuteplus,management
powerclientcsf,storage
powerexchange,other
powergemplus,other
powerguardian,other
poweronnud,other
powerschool,other
powwow-client,chat
powwow-server,chat
ppactivation,other
ppcontrol,other
ppp,network
ppsms,other
ppsuitemsg,other
pptconference,media
pptp,vpn
pq-lic-mgmt,licensing
pqsflows,other
pqsp,other
prRegister,other
pra_elmd,other
prat,other
prchat-server,chat
prchat-user,chat
precise-comm,other
precise-i3,other
precise-sft,other
precise-vip,other
predatar-comms,other
prelude,security
presence,chat
presonus-ucnet,media
press,other
prex-tcp,remote
prgp,other
primaserver,other
princity-agent,other
print-srv,printing
printer,printing
printer_agent,printing
printopia,printing
priority-e-com,other
prism-deploy,management
prismiq-plugin,media
priv-dial,other
priv-file,files
priv-mail,email
priv-print,printing
priv-rje,other
priv-term,remote
priv-term-l,remote
privateark,other
privatechat,chat
privatewire,other
privilege,other
privoxy,vpn
prizma,management
prm-nm,management
prm-nm-np,management
prm-sm,management
prm-sm-np,management
prnrequest,printing
prnstatus,printing
pro-ed,other
proactivate,other
proactivesrvr,other
proaxess,other
procos-lm,other
prodigy-intrnet,other
productinfo,other
profile,discovery
profilemac,other
profinet-cm,industrial
profinet-rt,industrial
profinet-rtm,industrial
progistics,other
programmar,other
prolink,other
proofd,other
propel-msgsys,middleware
proremote,other
proshare-mc-1,media
proshare-mc-2,media
proshare1,media
proshare2,media
proshareaudio,media
prosharedata,media
prosharenotify,media
prosharerequest,media
prosharevideo,media
prospero,files
proxim,other
proxima-lm,licensing
proxy-gateway,vpn
proxy-plus,vpn
prp,other
prsvp,network
ps-ams,gaming
psbserver,other
pscl-mgt,management
pscribe,other
pscupd,other
psdbserver,other
pserver,other
psi-ptt,media
psl-management,management
pslicser,licensing
pslserver,other
psmond,other
psprserver,other
pspserver,other
psqlmws,database
psrserver,other
psrt,industrial
pss,other
pssc,other
pt-tls,security
pt2-discover,discovery
ptcnameservice,discovery
ptk-alink,other
ptp,files
ptp-event,network
ptp-general,network
publiqare-sync,other
pulseaudio,media
pulsonixnls,licensing
pumpkindb,database
puparp,other
puppet,management
purenoise,other
purityrpc,management
pushns,other
pvaccess,industrial
pvsw,database
pvsw-inet,database
pvuniwien,other
pvxpluscs,other
pvxplusio,files
pwdgen,identity
pwdis,identity
pwgippfax,printing
pwgpsi,printing
pwgwims,other
pwrsevent,other
pxc-epmap,middleware
pxc-ntfy,other
pxc-pin,other
pxc-roid,other
pxc-sapxom,other
pxc-splr,other
pxc-splr-ft,other
pxc-spvr,other
pxc-spvr-ft,other
pyrrho,database
pythonds,development
q3ade,other
q55-pcc,other
qadmifevent,other
qadmifoper,other
qaz,other
qb-db-server,database
qbdb,database
qbikgdp,discovery
qcp,other
qdb2service,other
qencp,other
qfp,files
qft,files
qftest-licserve,licensing
qftest-lookup,development
qip-audup,other
qip-login,other
qip-msgd,other
qip-qdhcp,other
qke-llc-v3,other
qmqp,email
qmtps,email
qmvideo,management
qnts-orb,middleware
qnxnetman,other
qo-secure,other
qolyester,network
qotd,management
qotps,other
qpasa-agent,other
qptlmd,licensing
qrh,other
qsc,other
qsm-gui,other
qsm-proxy,other
qsm-remote,remote
qsnet-assist,other
qsnet-cond,other
qsnet-nucl,other
qsnet-trans,other
qsnet-workst,other
qsoft,other
qt-serveradmin,management
qtms-bootstrap,other
qtp,other
quaddb,database
quailnet,middleware
quake,gaming
quake2,gaming
quake3,gaming
quakeworld,gaming
quantastor,management
quartus-tcl,development
quasar-server,other
qubes,other
quest-agent,other
quest-data-hub,other
quest-disc,discovery
quest-vista,other
questdb2-lnchr,other
questnotify,other
queueadm,management
quickbooksrds,other
quicksuite,other
quicktime,management
quosa,other
quotad,other
qvr,other
qwave,management
raadmin,management
racf,identity
radacct,identity
radan-http,web
radclientport,other
radec-corp,other
radio,media
radio-bc,media
radio-sm,media
radius,identity
radius-acct,identity
radius-dynauth,identity
radix,other
radmin,remote
radmin-port,remote
radmind,management
radpdf,other
rads,management
radsec,identity
radware-rpm,management
radware-rpm-s,management
radwiz-nms-srv,management
raid-ac,storage
raid-am,storage
raid-cc,storage
raid-cd,storage
raid-cs,storage
raid-sf,storage
ramp,other
rancher,management
rap,network
rap-ip,other
rap-listen,other
rap-service,other
rapi,other
rapidbase,other
rapidmq-center,middleware
rapidmq-reg,middleware
rapido-ip,other
raqmon-pdu,management
rasadv,other
ratio-adp,other
ratl,other
ravehd,media
raven-rdp,management
raven-rmp,management
raventbs,middleware
raventdm,other
raw-serial,other
raxa-mgmt,management
razor,security
rbakcup1,storage
rbakcup2,storage
rblcheckd,security
rbr-debug,development
rbr-discovery,other
rbsystem,other
rbt-smc,other
rbt-wanopt,other
rcc-host,other
rcip-itu,other
rcp,other
rcst,other
rcts,other
rda,other
rdb-dbs-disp,database
rdc-wh-eos,other
rdgs,middleware
rdlap,other
rdm-tfs,database
rdmnet-ctrl,industrial
rdrmshc,other
rds,other
rds-ib,middleware
rds-ip,middleware
rds2,other
re-conn-proto,other
re-mail-ck,email
re101,other
reachout,other
realm-rusd,management
realsecure,security
realserver,media
rebol,other
recipe,other
recvr-rc,other
redis,database
redstone-cpss,other
redstorm_diag,management
redstorm_find,gaming
redstorm_info,gaming
redstorm_join,gaming
redwood-chat,chat
reftek,other
registrar,management
relief,other
rellpack,other
remcap,management
remctl,remote
remographlm,licensing
remote-as,remote
remote-collab,other
remote-kis,other
remote-winsock,other
remoteanything,remote
remotedeploy,management
remotefs,files
remoteware-un,other
rendezvous,media
repcmd,remote
repliweb,other
repscmd,remote
repsvc,other
res,other
res-sap,other
resacommunity,other
rescap,discovery
resorcs,other
resource_mgr,management
responselogic,other
responsenet,other
restconf-ch-tls,management
resvc,email
rethinkdb,database
retp,other
retrospect,storage
rets,other
rets-ssl,other
reversion,storage
rexecj,remote
rfa,files
rfb,remote
rfe,media
rfid-rp1,industrial
rfio,files
rfmp,management
rfx-lm,other
rgtp,chat
rhp-iibp,other
rib-slm,licensing
ricardo-lm,licensing
rich-cp,other
rid,security
ridgeway1,other
ridgeway2,other
rift-lies,network
rift-ties,network
rightbrain,other
rimf-ps,other
rimsl,other
ripd,management
ripng,network
ripngd,management
ris,database
ris-cm,other
rise,gaming
rjcdb-vcards,other
rje,management
rkb-oscs,other
rkinit,identity
rlm,licensing
rlm-admin,management
rlp,discovery
rlzdbase,database
rmc,other
rmiactivation,middleware
rmiaux,middleware
rmiregistry,middleware
rmlnk,other
rmonitor,management
rmonitor_secure,management
rmopagt,other
rmpp,other
rms-agent,other
rmt,storage
rmtserver,other
rna,other
rna-lm,licensing
rndc,management
rnm,other
rnmap,security
rnrp,other
robcad-lm,licensing
robix,other
roboeda,other
roboer,other
robot-remote,development
robotraconteur,industrial
roce,network
rockwell-csp1,industrial
rockwell-csp2,industrial
rocrail,industrial
roketz,gaming
rome,storage
rootd,other
rothaga,chat
route,network
routematch,other
roverlog,other
rp-reputation,security
rpas-c2,industrial
rpasswd,other
rpc2portmap,middleware
rpcbind,middleware
rpi,other
rpki-rtr,network
rpki-rtr-tls,network
rplay,media
rprt,vpn
rrac,other
rrdp,other
rrh,other
rrifmm,other
rrilwm,other
rrimwm,other
rrirtr,other
rrisat,other
rrp,management
rs-pias,other
rs-rmi,middleware
rs-status,management
rsap,other
rsc-robot,other
rscd,management
rscs,management
rsf-1,other
rsftp,files
rsh-spx,remote
rsip,network
rsisysaccess,other
rsms,management
rsmtp,email
rsom,other
rsqlserver,database
rsvd,other
rsvp-encap-1,network
rsvp-encap-2,network
rsvp_tunnel,vpn
rsync,files
rt-classmanager,other
rt-devicemapper,other
rt-event,other
rt-event-s,other
rt-helper,other
rt-labtracker,other
rt-sound,media
rt-viewer,other
rtc-pm-port,other
rtcm-sc104,other
rtelnet,remote
rtimeviewer,other
rtip,other
rtmp,media
rtmp-port,other
rtnt-1,other
rtnt-2,other
rtps-dd-mt,middleware
rtps-dd-ut,middleware
rtps-discovery,discovery
rtraceroute,management
rtsclient,other
rtsp,media
rtsp-alt,media
rtsps,media
rtsserv,other
rugameonline,gaming
rusb-sys-port,other
rushd,management
rvs-isdn-dcp,other
rwhois,identity
rwp,remote
rww,remote
rxapi,middleware
rxe,other
rxmon,other
s-bfd,network
s-net,other
s-openmail,email
s102,network
s3db,database
s8-client-port,other
sa-msg-port,other
sabams,other
sabarsd,other
sabp-signal,network
sac,other
sacred,identity
sae-urn,vpn
safetynetp,industrial
saft,files
sage-best-com1,management
sage-best-com2,management
sagectlpanel,other
sagxtsds,identity
sah-lm,management
sai_sentlm,licensing
saiseh,other
sal,identity
salient-dtasrv,other
salient-mux,other
salient-usrmgr,management
saltd-licensing,licensing
samba-swat,management
samd,other
samsung-disc,discovery
samsung-unidex,other
sanavigator,storage
sandpolis,other
sane-port,printing
sanity,other
santak-ups,management
santools,management
sapcomm,other
sapeps,other
saphostctrl,management
